                     Force(x),                      Force(y),                      Force(z),                    Force(Net),                   Velocity(x),                   Velocity(y),                   Velocity(z),                 Velocity(Net),                   Position(x),                   Position(y),                   Position(z),                          Time,
        2.2308093764951532e-13          1.071638595373576e-09          2.230809400252372e-13         1.1484093786244615e-18              45.00000079733941             45.000406304020416          7.973401447683331e-07             4050.0366392874685             1846.8468758766458              1846.860604686485         2.9029826873184614e-05               81.0810810810811
         2.230821878631069e-13         1.0716398913691108e-09         2.2308219023885574e-13         1.1484121563049259e-18               45.0000005922148              45.00026723753385          5.922153583961128e-07             4050.0241047487953             1846.8468681444351             1846.8551903367534         2.1297609048737184e-05               82.0820820820821
        2.0316400412154347e-13         1.0244422698114097e-09          2.031640060860381e-13         1.0494820467275789e-18              45.00000079756271              45.00040737673302          7.975634502640677e-07              4050.036735852573               1891.89192171994             1891.9060569791543          2.982807692074838e-05               83.0830830830831
        2.0316514687877553e-13         1.0244435211515647e-09         2.0316514884329256e-13          1.049484610581571e-18              45.00000059241817              45.00026826300159          5.924187257695723e-07              4050.024197059744             1891.8919137823896             1891.9005034000845         2.1890519000772062e-05               84.0840840840841
        1.8540220908628161e-13          9.802248737624165e-10         1.8540221071764566e-13          9.608408718905043e-19             45.000000797766084              45.00040840220201          7.977668187814284e-07              4050.036828163922              1936.936967563448             1936.9515103219646          3.062654051886925e-05               85.0850850850851
        1.8540325551724645e-13          9.802260823147797e-10          1.854032571486291e-13          9.608432411989163e-19             45.000000592603755             45.000269244207665          5.926043135680885e-07              4050.024285385521             1936.9369594205386             1936.9458174677568         2.2483623625065187e-05               86.0860860860861
        1.6952418032433106e-13          9.387467600258667e-10         1.6952418168458431e-13           8.81245536935958e-19              45.00000079795167               45.0004093834093           7.97952407627423e-07              4050.036916490083             1981.9820134071506             1981.9969646691175          3.142519879034515e-05               87.0870870870871
        1.6952514022667523e-13          9.387479275985123e-10         1.6952514158694406e-13          8.812477290480485e-19             45.000000592773446              45.00027018389411          5.927740074436487e-07               4050.02436997308             1981.9820050588655             1981.9911324968368         2.3076906068014004e-05               88.0880880880881
        1.5529720311668932e-13          8.997913123682953e-10          1.552972042553274e-13          8.096244540479021e-19              45.00000079812136             45.000410323096915          7.981221024638464e-07              4050.037001078011              2027.027059251031             2027.0424199776792          3.222403488148192e-05               89.0890890890891
        1.5529808513621017e-13          8.997924407052493e-10         1.5529808627486134e-13          8.096264845853004e-19               45.0000005929289              45.00027108458611          5.929294601005609e-07             4050.0244510498383             2027.0270506973552             2027.0364484470272          2.367035124696506e-05               90.0900900900901
        1.4252111945995914e-13          8.631624100317264e-10         1.4252112041667013e-13          7.450493867163174e-19             45.000000798276815             45.000411223790046          7.982775560036611e-07             4050.0370821551237              2072.072105095074             2072.0878762073526         3.3023033709543734e-05               91.0910910910911
        1.4252193124065402e-13          8.631635008102602e-10         1.4252193219737602e-13         7.4505126975602615e-19              45.00000059307156              45.00027194861255          5.930721238847618e-07              4050.024528825527              2072.072096335994               2072.08176528046           2.42639456333441e-05               92.0920920920921
         1.310232765825269e-13          8.286822024030783e-10         1.3102327738928015e-13          6.867142269138147e-19              45.00000079841948              45.00041208781757          7.984202206004553e-07              4050.037159931152             2117.1171509392666             2117.1333333202692         3.3822181745882134e-05               93.0930930930931
